source_competition	organized_competition	question	source_path	organized_path	file_count	bytes
羊城杯	羊城杯	DeltX-9e57946f-ce9c-452e-a526-8923af9faa07	羊城杯/DeltX-9e57946f-ce9c-452e-a526-8923af9faa07	羊城杯/DeltX-9e57946f-ce9c-452e-a526-8923af9faa07	1	153088
羊城杯	羊城杯	EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f	羊城杯/EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f	羊城杯/EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f	1	10400
羊城杯	羊城杯	OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48	羊城杯/OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48	羊城杯/OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48	1	19968
羊城杯	羊城杯	safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa	羊城杯/safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa	羊城杯/safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa	1	30720
莲城杯	莲城杯	baby_rust	莲城杯/baby_rust	莲城杯/baby_rust	1	424288
虎符网络安全技能大赛	虎符网络安全技能大赛	CrackMe	虎符网络安全技能大赛/CrackMe	虎符网络安全技能大赛/CrackMe	1	24576
虎符网络安全技能大赛	虎符网络安全技能大赛	re	虎符网络安全技能大赛/re	虎符网络安全技能大赛/re	1	18828
西湖论剑	西湖论剑	2111196197801f19959	西湖论剑/2111196197801f19959	西湖论剑/2111196197801f19959	1	14848
西湖论剑	西湖论剑	2111196197801f693f3	西湖论剑/2111196197801f693f3	西湖论剑/2111196197801f693f3	1	16384
西湖论剑	西湖论剑	2111196197801f94a65	西湖论剑/2111196197801f94a65	西湖论剑/2111196197801f94a65	1	36366
西湖论剑	西湖论剑	21111961978038e80fb	西湖论剑/21111961978038e80fb	西湖论剑/21111961978038e80fb	1	1069544
