题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
CSTC/free_flag,CSTC,free_flag,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CSTC/free_flag
CSTC/maze,CSTC,maze,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,CSTC/maze
CSTC/pack!pack!pack!,CSTC,pack!pack!pack!,P4,否,否,否,是,否,"""C2 证据包含加壳/虚拟化线索：UPX/packer: in DOS mode. TRich USE0 USE1 .rsrc 3.95 UPX! #3C9 OLF< /U.W ~'f- gL3vbF 0D:D q;mc F?~oWy oWy> +vn]W """"R.; Ok0; '"""":Xy ^goj wc""",低,CSTC/pack!pack!pack!
CSTC/rand,CSTC,rand,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CSTC/rand
CUMTCTF/REgame,CUMTCTF,REgame,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CUMTCTF/REgame
CUMTCTF/re1,CUMTCTF,re1,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CUMTCTF/re1
CUMTCTF/re6,CUMTCTF,re6,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CUMTCTF/re6
CUMTCTF/不识庐山真面目Revenge,CUMTCTF,不识庐山真面目Revenge,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CUMTCTF/不识庐山真面目Revenge
CyBRICS/paired,CyBRICS,paired,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetModuleHandleW RtlUnwindEx GetLastError SetLastError EnterCri; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,CyBRICS/paired
CyBRICS/walker,CyBRICS,walker,U0,否,否,否,否,是,静态证据不足，待人工复核,低,CyBRICS/walker
D3CTF/ancient,D3CTF,ancient,U0,否,否,否,否,是,静态证据不足，待人工复核,低,D3CTF/ancient
D3CTF/jumpjump,D3CTF,jumpjump,U0,否,否,否,否,是,静态证据不足，待人工复核,低,D3CTF/jumpjump
D3CTF/white_give,D3CTF,white_give,P1+P2,是,是,否,否,否,由 C3 环境与交互干预映射：反调试: RtlLookupFunctionEntry RtlVirtualUnwind IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcesso; 时序/工具干预: ebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcessorFeaturePresent QueryPerformanceC；由 C1/C4 映射：反调试、时序/工具干预,中,D3CTF/white_give
D3CTF/zigzag,D3CTF,zigzag,U0,否,否,否,否,是,静态证据不足，待人工复核,低,D3CTF/zigzag
DASCTF/1,DASCTF,1,U0,否,否,否,否,是,静态证据不足，待人工复核,低,DASCTF/1
DASCTF/Enjoyit-1的附件,DASCTF,Enjoyit-1的附件,U0,否,否,否,否,是,静态证据不足，待人工复核,低,DASCTF/Enjoyit-1的附件
DASCTF/PaperPlease,DASCTF,PaperPlease,U0,否,否,否,否,是,静态证据不足，待人工复核,低,DASCTF/PaperPlease
DASCTF/StrangeMine的附件,DASCTF,StrangeMine的附件,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: icalSection SetUnhandledExceptionFilter OutputDebugStringA SetLastError InitializeCriticalSectionAndSpinCount GetModuleFileNameW GetModule; 时序/工具干预: CriticalSectionEx DeleteCriticalSection SetUnhandledExceptionFilter OutputDebugStringA SetLastError InitializeCriticalSectionA,中,DASCTF/StrangeMine的附件
DASCTF/drinkSomeTea的附件,DASCTF,drinkSomeTea的附件,P2,否,是,否,否,否,由 C1/C4 映射：伪成功/伪验证,低,DASCTF/drinkSomeTea的附件
